IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
91.217.139.121,8443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,305,60.20
91.217.139.227,8443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,312,52.14
216.38.168.34,16384,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,310,17.15
156.251.183.226,34147,TRUE,SIN,SG,Asia Pacific,Singapore,40065,CNSERVERS,700,14.24
23.224.36.207,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,324,11.88
156.251.180.162,35183,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,658,9.92
185.238.250.168,36545,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,321,8.75
103.103.245.23,38372,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,698,7.03
103.234.53.22,1450,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,685,6.44
2.56.255.22,19096,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,316,6.44
185.186.147.105,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,301,6.31
156.251.179.136,34237,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,671,5.73
2.59.151.29,47054,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,321,5.28
193.22.152.226,443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,320,5.25
2.56.255.97,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,323,5.09
23.224.144.82,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,331,4.60
212.103.62.244,19560,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,338,4.44
154.64.240.232,29132,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,288,3.74
23.224.171.223,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,323,3.73
23.224.49.182,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,326,3.69
185.186.146.99,24853,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,318,3.18
103.94.185.7,35586,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,303,3.14
23.224.141.132,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,308,2.57
172.247.109.60,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,235,2.19
172.247.15.219,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,322,2.10
172.247.123.93,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,126,2.08
172.247.123.120,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,300,2.06
23.224.141.167,26578,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,256,2.02
172.247.123.75,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,136,1.95
154.88.30.16,34237,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,677,1.20
154.88.31.91,30000,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,678,0.20
